Rank,Accuracy,F1 Score,Theil Index,Consistency,FPR Diff,FNR Diff,Accuracy Diff,FOR Diff,FDR Diff,Statistical Parity Diff,F1 Score Diff
1,Logistic Regression,Logistic Regression,DIR + PR + ROC,OP + GFC + ROC,OP + GFC + ROC,OP + EGR + EOP,DIR + GFC,DIR + GFC + ROC,Logistic Regression,OP + EGR,EGR + ROC
2,DIR,DIR,OP + ROC,OP + GFC + CEOP,GFC + EOP,OP + GFC + ROC,DIR + GFC + ROC,CEOP,DIR,OP + PR + ROC,GSR
3,DIR + EGR,DIR + GSR,PR + ROC,OP + GFC,DIR + EOP,PR + EOP,GFC + CEOP,GFC + CEOP,GFC,OP + GFC + EOP,GSR + ROC
4,GSR,GSR,Logistic Regression,OP,OP + GFC,OP + PR + EOP,OP + GSR + ROC,DIR + CEOP,DIR + EGR + ROC,OP + GFC + ROC,EGR
5,DIR + GSR,EGR,EOP,OP + GSR,DIR + GSR + EOP,OP + GFC,PR + ROC,DIR + GFC,DIR + EGR,OP + EGR + ROC,PR
6,DIR + EGR + ROC,DIR + EGR,DIR + ROC,OP + EGR + ROC,OP + PR + EOP,EGR + EOP,OP + PR + ROC,DIR + GSR + CEOP,DIR + EGR + CEOP,OP + EOP,OP + EGR
7,EGR,PR + EOP,DIR,OP + PR,DIR + EGR + EOP,OP + ROC,GFC,OP + ROC,GSR + CEOP,OP + PR + EOP,DIR + PR
8,DIR + PR + CEOP,DIR + EGR + ROC,PR + EOP,OP + GSR + CEOP,OP + EGR + EOP,GFC + EOP,EOP,DIR + PR + CEOP,PR,DIR + GFC,OP + EGR + ROC
9,CEOP,OP + GSR + ROC,DIR + GSR,OP + PR + CEOP,GSR + EOP,GFC,DIR + GFC + EOP,PR + CEOP,GFC + CEOP,OP + GSR + EOP,DIR + GFC + EOP
10,PR + CEOP,EOP,DIR + PR + EOP,OP + CEOP,EOP,GSR + EOP,GFC + ROC,GFC + ROC,DIR + PR,OP + GFC,DIR
51,OP + EOP,OP + EGR + ROC,DIR + PR,DIR + GSR + EOP,OP + PR + CEOP,GFC + CEOP,OP + EGR,OP + GSR + CEOP,OP + EGR + ROC,OP + CEOP,OP + ROC
52,DIR + GFC,OP + EGR + CEOP,DIR + GFC + ROC,PR + EOP,DIR + GSR + CEOP,DIR + EGR + CEOP,OP + EGR + ROC,OP + GFC,OP + GSR + ROC,DIR + GFC + ROC,DIR + GFC + CEOP
53,OP + GSR + EOP,GFC + ROC,OP + EGR + CEOP,DIR + GFC + EOP,OP + CEOP,DIR + GFC + CEOP,OP + PR,OP + GSR,OP + ROC,PR,EGR + CEOP
54,OP + PR + ROC,DIR + GFC + ROC,OP + GFC + CEOP,OP + PR + EOP,PR,GSR + CEOP,OP + PR + CEOP,OP + EGR + EOP,OP + EGR + EOP,GSR + CEOP,GFC + CEOP
55,GFC + CEOP,OP + GFC + CEOP,OP + GFC + ROC,DIR + EGR + EOP,DIR + PR + CEOP,EGR + CEOP,OP + GSR,OP + EGR + ROC,DIR + GSR + EOP,DIR + PR + CEOP,DIR + PR + CEOP
56,DIR + ROC,OP + GFC + ROC,DIR + GFC + CEOP,DIR + EOP,Logistic Regression,PR + CEOP,OP + GSR + CEOP,OP + PR + EOP,OP + EGR + CEOP,Logistic Regression,GSR + CEOP
57,OP + GFC + EOP,GFC + CEOP,GFC + ROC,EOP,DIR + CEOP,DIR + GSR + CEOP,OP + EGR + CEOP,OP + EGR,DIR + GFC + EOP,DIR + GSR + CEOP,PR + CEOP
58,OP + PR,OP + PR,GFC + CEOP,OP + EOP,PR + CEOP,DIR + PR + CEOP,OP + GFC + ROC,OP + EOP,OP + EGR,PR + CEOP,DIR + GSR + CEOP
59,OP + ROC,DIR + GFC + CEOP,OP + PR,OP + GSR + EOP,DIR + GFC + ROC,DIR + CEOP,OP + GFC,OP + GFC + EOP,OP + PR + CEOP,DIR + CEOP,DIR + CEOP
60,DIR + PR + ROC,OP + GFC,OP + GFC,OP + GFC + EOP,CEOP,CEOP,OP + GFC + CEOP,OP + GSR + EOP,OP + GSR,CEOP,CEOP
